"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"17","RT @globaltimesnews: Chinese singer #KrisWu will play in his 3rd Celebrity Game since 2016 in the #NBA All-Star 2018 on Feb 16, @NBAAllStar…",FALSE,0,NA,2018-02-25 01:44:56,FALSE,NA,"967576112577503232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","krisyeol_kc",1748,TRUE,FALSE,NA,NA
"18","RT @Echinanews: Chinese-Canadian singer and actor #KrisWu is to play in the 2018 #NBA All-Star Celebrity Game on February 17 (Beijing Time)…",FALSE,0,NA,2018-02-25 01:44:07,FALSE,NA,"967575908386160641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","krisyeol_kc",2049,TRUE,FALSE,NA,NA
"19","RT @WuYiFan_KrisBar: #Wuyifan #KrisWu at #NBA  All-Star Celebrity Game 

Warming up <ed><U+00A0><U+00BC><ed><U+00BF><U+0080>
Enjoy the game @KrisWuOfficial_ !

Cr.PrinceKris<U+5C0F><U+738B><U+5B50>_<U+5434>…",FALSE,0,NA,2018-02-25 00:44:28,FALSE,NA,"967560895747432454",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aghniyay08",3332,TRUE,FALSE,NA,NA
"20","RT @WuYiFan_KrisBar: #Wuyifan #KrisWu at #NBA  All-Star Celebrity Game 

Warming up <ed><U+00A0><U+00BC><ed><U+00BF><U+0080>
Enjoy the game @KrisWuOfficial_ !

Cr.PrinceKris<U+5C0F><U+738B><U+5B50>_<U+5434>…",FALSE,0,NA,2018-02-25 00:38:15,FALSE,NA,"967559332668702720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rlfval_exo",3332,TRUE,FALSE,NA,NA
"21","RT @sportslandent: Timberwolves  All-Star Jimmy Butler has suffered meniscal right knee injury !!
VIA ( Shams)
#NBA #jimmybutler 
#Timberwo…",FALSE,0,NA,2018-02-25 00:21:30,FALSE,NA,"967555115342286848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BallerELITE2",9,TRUE,FALSE,NA,NA
"22","RT @sportslandent: Timberwolves  All-Star Jimmy Butler has suffered meniscal right knee injury !!
VIA ( Shams)
#NBA #jimmybutler 
#Timberwo…",FALSE,0,NA,2018-02-25 00:20:34,FALSE,NA,"967554882084450304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BackBalaj",9,TRUE,FALSE,NA,NA
"23","RT @sportslandent: Timberwolves  All-Star Jimmy Butler has suffered meniscal right knee injury !!
VIA ( Shams)
#NBA #jimmybutler 
#Timberwo…",FALSE,0,NA,2018-02-25 00:19:38,FALSE,NA,"967554645664108544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MacSix9",9,TRUE,FALSE,NA,NA
"24","RT @sportslandent: Timberwolves  All-Star Jimmy Butler has suffered meniscal right knee injury !!
VIA ( Shams)
#NBA #jimmybutler 
#Timberwo…",FALSE,0,NA,2018-02-25 00:16:02,FALSE,NA,"967553738234875904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PalTruth",9,TRUE,FALSE,NA,NA
"25","RT @sportslandent: Timberwolves  All-Star Jimmy Butler has suffered meniscal right knee injury !!
VIA ( Shams)
#NBA #jimmybutler 
#Timberwo…",FALSE,0,NA,2018-02-25 00:14:58,FALSE,NA,"967553471280017410",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","patrickhooper09",9,TRUE,FALSE,NA,NA
"26","RT @sportslandent: Timberwolves  All-Star Jimmy Butler has suffered meniscal right knee injury !!
VIA ( Shams)
#NBA #jimmybutler 
#Timberwo…",FALSE,0,NA,2018-02-25 00:14:10,FALSE,NA,"967553270775537664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LimitKam",9,TRUE,FALSE,NA,NA
