"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"603","RT @Gidi_Traffic: ""@FELASTORY:  #ChineseNewYear #YearOfTheDog  woof woof @Gidi_Traffic Happy Year of the Dog. https://t.co/hQ1WXb9I4O",FALSE,0,NA,2018-02-25 03:35:54,FALSE,NA,"967604038177992704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","MertieJinno3",273,TRUE,FALSE,NA,NA
"604","RT @AshishJThakkar: <U+65B0><U+5E74><U+5FEB><U+4E50>  
Happy Lunar New Year! #YearOfTheDog 
#LunarNewYear2018
#ChineseNewYear",FALSE,0,NA,2018-02-25 03:31:59,FALSE,NA,"967603052797661184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","malvinavelez11",1437,TRUE,FALSE,NA,NA
"605","Chinese New Year Yee's Hung Gar Lion Dance Chinatown NYC Feb24th 2018 https://t.co/6ahCSA1xCg #ChineseNewYear… https://t.co/0VEj5xthwU",FALSE,0,NA,2018-02-25 03:31:40,TRUE,NA,"967602970446716928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bachatero1966",0,FALSE,FALSE,NA,NA
"606","RT @Gidi_Traffic: ""@FELASTORY:  #ChineseNewYear #YearOfTheDog  woof woof @Gidi_Traffic Happy Year of the Dog. https://t.co/hQ1WXb9I4O",FALSE,0,NA,2018-02-25 03:31:14,FALSE,NA,"967602861445124096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","idellgraden34",273,TRUE,FALSE,NA,NA
"607","Fireworks are making alarms go off <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3> #ChineseNewYear",FALSE,0,"canntayn",2018-02-25 03:29:39,FALSE,"967589183589007360","967602465410396161","967586507048366081","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","canntayn",1,FALSE,FALSE,NA,NA
"608","MoraTREND Special!!!
Weekend Alert <ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> 

Off-White Industrial Belt
SHOP: https://t.co/rsyx6HcLcZ

#Shop #RedBottoms… https://t.co/ZiV3VDD15J",FALSE,1,NA,2018-02-25 03:28:30,TRUE,NA,"967602173990318080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MORATREND",0,FALSE,FALSE,NA,NA
"609","RT @EllaSogomonian: Gung Hay Fat Choy! Happy #ChineseNewYear #SanFrancisco https://t.co/gWjLR593Ei",FALSE,0,NA,2018-02-25 03:28:08,FALSE,NA,"967602082822815744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Maier12345",4,TRUE,FALSE,NA,NA
"610","RT @Gidi_Traffic: ""@FELASTORY:  #ChineseNewYear #YearOfTheDog  woof woof @Gidi_Traffic Happy Year of the Dog. https://t.co/hQ1WXb9I4O",FALSE,0,NA,2018-02-25 03:27:32,FALSE,NA,"967601930766872581",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","MarlineHoff12",273,TRUE,FALSE,NA,NA
"611","RT @AshishJThakkar: <U+65B0><U+5E74><U+5FEB><U+4E50>  
Happy Lunar New Year! #YearOfTheDog 
#LunarNewYear2018
#ChineseNewYear",FALSE,0,NA,2018-02-25 03:27:00,FALSE,NA,"967601797580951552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sherrellmoore93",1437,TRUE,FALSE,NA,NA
"612","MoraTREND Special!!!
Happy Chinese New Year <ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00B3>

Christian Louboutin So Kate Pumps
SHOP: https://t.co/i38wvFTrsl… https://t.co/3hmpVUAFdl",FALSE,1,NA,2018-02-25 03:26:40,TRUE,NA,"967601715963940864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MORATREND",0,FALSE,FALSE,NA,NA
"613","RT @AshishJThakkar: <U+65B0><U+5E74><U+5FEB><U+4E50>  
Happy Lunar New Year! #YearOfTheDog 
#LunarNewYear2018
#ChineseNewYear",FALSE,0,NA,2018-02-25 03:26:01,FALSE,NA,"967601551593291776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","8LIWfXfwhMV7clp",1437,TRUE,FALSE,NA,NA
"614","RT @AshishJThakkar: <U+65B0><U+5E74><U+5FEB><U+4E50>  
Happy Lunar New Year! #YearOfTheDog 
#LunarNewYear2018
#ChineseNewYear",FALSE,0,NA,2018-02-25 03:24:24,FALSE,NA,"967601143919587328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aohhnvdyccfu6",1437,TRUE,FALSE,NA,NA
"615","Who said #YearOfTheDog #chinesenewyear Not #YearOfTheLolaParrilla <ed><U+00A0><U+00BD><ed><U+00B0><U+00B6> @LanaParrilla @TheLolaParrilla  #LoAna https://t.co/OGtdduitUv",FALSE,1,NA,2018-02-25 03:24:12,FALSE,NA,"967601095248838656",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","Patry_y_cia",0,FALSE,FALSE,NA,NA
"616","#chinesenewyear https://t.co/fsKgcey5h5",FALSE,0,NA,2018-02-25 03:23:49,FALSE,NA,"967600996896649217",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","sugarbriches82",0,FALSE,FALSE,NA,NA
"617","RT @abc7david: Ready to march in tonight’s #SanFrancisco #ChineseNewYear parade!  #abc7now https://t.co/TpabKs25O8",FALSE,0,NA,2018-02-25 03:22:07,FALSE,NA,"967600567471112192",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","abc7newsbayarea",2,TRUE,FALSE,NA,NA
"618","Happy New Year! #chinesenewyear #YearoftheDog @ Chinatown https://t.co/1GgIoOqWq1",FALSE,0,NA,2018-02-25 03:20:55,FALSE,NA,"967600268702638080",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","sugarbriches82",0,FALSE,FALSE,NA,NA
"619","RT @ClarkCountyNV: For #dog lovers, every year is the #YearOfTheDog , but this really is the #YearOfTheDog ! Enjoy the #ChineseNewYear cele…",FALSE,0,NA,2018-02-25 03:20:12,FALSE,NA,"967600085654622208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","silkiinc",19,TRUE,FALSE,NA,NA
"620","RT @AshishJThakkar: <U+65B0><U+5E74><U+5FEB><U+4E50>  
Happy Lunar New Year! #YearOfTheDog 
#LunarNewYear2018
#ChineseNewYear",FALSE,0,NA,2018-02-25 03:19:34,FALSE,NA,"967599928766803969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denafraioli1040",1437,TRUE,FALSE,NA,NA
"621","RT @CloakCoin: #ChineseNewYear #GiveAway 
WIN 50 $CLOAK !!! <U+2618><U+FE0F>
Follow @CloakCoin &amp; Retweet this Tweet! 
Winner will be announced midnight U…",FALSE,0,NA,2018-02-25 03:16:04,FALSE,NA,"967599047916875776",NA,"<a href=""https://twitter.com/NewsFeedDE"" rel=""nofollow"">NewsFeedDE</a>","NewsFeedDE",623,TRUE,FALSE,NA,NA
"622","RT @CloakCoin: #ChineseNewYear #GiveAway 
WIN 50 $CLOAK !!! <U+2618><U+FE0F>
Follow @CloakCoin &amp; Retweet this Tweet! 
Winner will be announced midnight U…",FALSE,0,NA,2018-02-25 03:15:47,FALSE,NA,"967598976789819397",NA,"<a href=""https://bigboostpanel.com"" rel=""nofollow"">BigBoostPanel</a>","AutoLikesWorld",623,TRUE,FALSE,NA,NA
"623","RT @XHSports: Dragon dancing, a prevailing way of celebrating #ChineseNewYear among Miao ethnic group in Tongren city, Guizhou province htt…",FALSE,0,NA,2018-02-25 03:15:10,FALSE,NA,"967598819981455360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TwCUZaPLLXgcRqV",26,TRUE,FALSE,NA,NA
"624","RT @AshishJThakkar: <U+65B0><U+5E74><U+5FEB><U+4E50>  
Happy Lunar New Year! #YearOfTheDog 
#LunarNewYear2018
#ChineseNewYear",FALSE,0,NA,2018-02-25 03:14:08,FALSE,NA,"967598559322365952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DainaDa66955789",1437,TRUE,FALSE,NA,NA
"625","2 #TaiChi classes from @Equinox #DC &amp; @DCTaiChi celebrate lunar #ChineseNewYear  #YearoftheDog <ed><U+00A0><U+00BD><ed><U+00B0><U+0095> at… https://t.co/uEfPYZhp21",FALSE,0,NA,2018-02-25 03:13:36,TRUE,NA,"967598425909989379",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PRlady007",0,FALSE,FALSE,NA,NA
"626","RT @SHD_Diya: Happy #ChineseNewYear 
Wish everyone good luck
<ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>cuuuuuute<ed><U+00A0><U+00BD><ed><U+00B1><U+0087> https://t.co/X22PxqTuyB",FALSE,0,NA,2018-02-25 03:12:32,FALSE,NA,"967598157495488512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jaylighting1",4,TRUE,FALSE,NA,NA
"627","RT @AshishJThakkar: <U+65B0><U+5E74><U+5FEB><U+4E50>  
Happy Lunar New Year! #YearOfTheDog 
#LunarNewYear2018
#ChineseNewYear",FALSE,0,NA,2018-02-25 03:12:32,FALSE,NA,"967598157025640449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lanniephilippe8",1437,TRUE,FALSE,NA,NA
"628","Two weeks ago the District Attorney, @SummerStephan, helped celebrate the Chinese New Year in San Diego.… https://t.co/sayRKxAMOd",FALSE,3,NA,2018-02-25 03:11:22,TRUE,NA,"967597865169137664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SanDiegoDDAs",0,FALSE,FALSE,NA,NA
"629","From Instagram: Chinese New Year Parade, San Francisco. Photography by Frederic Larson @mysticalphoto… https://t.co/n8MzrN2RmT",FALSE,24,NA,2018-02-25 03:10:03,TRUE,NA,"967597534456795137",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","SFGate",8,FALSE,FALSE,NA,NA
"630","RT @mommymakestime: Did you celebrate #ChineseNewYear? It's the #YearOfTheDog and we had a blast celebrating with my preschool class and le…",FALSE,0,NA,2018-02-25 03:09:52,FALSE,NA,"967597486364913664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DiscoverSelf",17,TRUE,FALSE,NA,NA
"631","RT @AshishJThakkar: <U+65B0><U+5E74><U+5FEB><U+4E50>  
Happy Lunar New Year! #YearOfTheDog 
#LunarNewYear2018
#ChineseNewYear",FALSE,0,NA,2018-02-25 03:09:42,FALSE,NA,"967597443763224576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","riell_michell",1437,TRUE,FALSE,NA,NA
"632","RT @ntaychak: Getting ready for the parade!#LunarNewYear #ChineseNewYear #SalesforceOhana #YearOfTheDog @SalesforceEQ https://t.co/3GVmSqaI…",FALSE,0,NA,2018-02-25 03:09:32,FALSE,NA,"967597401337872384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jpoeming",1,TRUE,FALSE,NA,NA
"633","RT @MaureenKTVU: Preview of the festivities before the #ChineseNewYear parade. Hope you’ll tune in for @KTVU tradition.
#GungHayFatChoy htt…",FALSE,0,NA,2018-02-25 03:08:49,FALSE,NA,"967597223130292225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lup_21",2,TRUE,FALSE,NA,NA
"634","#ChineseNewYear 
#LunarNewYear 
#ChineseNewYear2018   <U+263A><U+FE0F> https://t.co/CbolQvwQzt",FALSE,0,NA,2018-02-25 03:08:34,FALSE,NA,"967597160052043776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chase_teng",0,FALSE,FALSE,NA,NA
"635","11 years with this crew. Wouldn’t have it any other way! #whitedragon #kungfu #chinesenewyear… https://t.co/zDGLIQUNe7",FALSE,0,NA,2018-02-25 03:07:43,FALSE,NA,"967596947094765568",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","sinfi001",0,FALSE,FALSE,"-117.16177265","32.70962412"
"636","RT @XHSports: Dragon dancing, a prevailing way of celebrating #ChineseNewYear among Miao ethnic group in Tongren city, Guizhou province htt…",FALSE,0,NA,2018-02-25 03:06:59,FALSE,NA,"967596760641060865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","qeffydof",26,TRUE,FALSE,NA,NA
